iter	Passed	Remaining
0	1	1456
1	3	1633
2	5	1770
3	6	1658
4	7	1588
5	9	1544
6	10	1511
7	11	1481
8	13	1459
9	14	1452
10	16	1440
11	17	1428
12	18	1425
13	19	1398
14	21	1399
15	22	1391
16	23	1384
17	25	1367
18	26	1361
19	27	1355
20	31	1473
21	33	1473
22	36	1539
23	37	1543
24	39	1534
25	40	1531
26	42	1519
27	43	1520
28	45	1511
29	46	1516
30	48	1506
31	50	1541
32	53	1572
33	55	1585
34	58	1601
35	59	1591
36	60	1576
37	61	1566
38	63	1568
39	65	1574
40	67	1567
41	73	1668
42	74	1664
43	76	1664
44	78	1664
45	79	1654
46	81	1653
47	84	1678
48	86	1681
49	87	1671
50	89	1665
51	90	1657
52	92	1649
53	93	1642
54	94	1631
55	98	1656
56	99	1652
57	101	1646
58	102	1640
59	104	1634
60	105	1628
61	107	1622
62	108	1616
63	110	1610
64	118	1701
65	119	1696
66	121	1691
67	122	1684
68	124	1675
69	125	1670
70	127	1665
71	129	1669
72	131	1671
73	133	1666
74	134	1657
75	135	1649
76	137	1645
77	138	1639
78	140	1637
79	142	1633
80	145	1646
81	147	1650
82	148	1643
83	149	1635
84	151	1626
85	152	1618
86	153	1610
87	154	1602
88	155	1595
89	157	1589
90	158	1580
91	159	1578
92	161	1573
93	162	1570
94	164	1567
95	165	1562
96	166	1554
97	168	1551
98	169	1546
99	171	1541
100	172	1538
101	174	1537
102	176	1535
103	178	1538
104	180	1535
105	181	1532
106	183	1529
107	184	1521
108	185	1516
109	186	1509
110	187	1502
111	189	1499
112	191	1504
113	195	1516
114	196	1512
115	197	1507
116	199	1503
117	200	1499
118	201	1493
119	203	1490
120	204	1488
121	206	1486
122	208	1486
123	210	1488
124	212	1484
125	213	1479
126	214	1475
127	215	1470
128	217	1465
129	218	1461
130	219	1457
131	221	1453
132	222	1452
133	224	1449
134	225	1446
135	226	1442
136	228	1439
137	229	1434
138	230	1429
139	236	1451
140	238	1453
141	240	1451
142	241	1447
143	242	1442
144	243	1437
145	244	1432
146	245	1426
147	246	1420
148	248	1416
149	248	1410
150	250	1406
151	251	1401
152	252	1398
153	254	1399
154	256	1397
155	257	1394
156	259	1392
157	261	1393
158	262	1389
159	263	1385
160	265	1381
161	266	1376
162	267	1373
163	269	1373
164	270	1370
165	272	1366
166	273	1362
167	274	1358
168	275	1354
169	276	1348
170	277	1344
171	278	1339
172	279	1335
173	280	1331
174	281	1327
175	283	1325
176	284	1324
177	285	1320
178	287	1316
179	288	1312
180	289	1308
181	290	1304
182	291	1300
183	292	1296
184	293	1292
185	294	1288
186	295	1284
187	296	1281
188	297	1278
189	299	1275
190	300	1272
191	301	1269
192	302	1265
193	303	1262
194	305	1259
195	306	1255
196	307	1252
197	308	1249
198	309	1245
199	310	1242
200	311	1238
201	312	1235
202	314	1234
203	315	1232
204	317	1229
205	318	1227
206	319	1224
207	320	1221
208	321	1218
209	323	1215
210	324	1212
211	325	1209
212	326	1205
213	327	1202
214	328	1199
215	330	1200
216	332	1199
217	333	1196
218	335	1194
219	336	1192
220	337	1189
221	338	1186
222	340	1184
223	341	1181
224	342	1178
225	343	1175
226	344	1172
227	345	1169
228	346	1166
229	347	1163
230	348	1161
231	349	1158
232	350	1155
233	352	1152
234	353	1149
235	354	1147
236	355	1144
237	356	1141
238	357	1139
239	358	1136
240	360	1134
241	361	1132
242	362	1130
243	364	1130
244	365	1127
245	367	1125
246	368	1122
247	369	1119
248	370	1117
249	371	1113
250	372	1111
251	373	1108
252	374	1105
253	375	1101
254	376	1098
255	377	1097
256	378	1095
257	380	1093
258	381	1090
259	382	1088
260	383	1086
261	385	1084
262	386	1082
263	387	1080
264	388	1078
265	389	1075
266	390	1073
267	391	1070
268	393	1068
269	394	1066
270	395	1064
271	396	1062
272	397	1059
273	399	1057
274	400	1054
275	401	1052
276	402	1050
277	403	1047
278	404	1044
279	405	1042
280	406	1040
281	407	1038
282	409	1038
283	410	1036
284	412	1033
285	413	1031
286	414	1029
287	415	1027
288	416	1024
289	417	1022
290	418	1020
291	419	1017
292	420	1015
293	421	1012
294	423	1010
295	424	1009
296	425	1007
297	426	1005
298	427	1003
299	428	1000
300	429	998
301	430	995
302	431	993
303	433	991
304	433	988
305	434	986
306	435	984
307	437	982
308	438	980
309	439	979
310	441	977
311	442	974
312	443	972
313	444	970
314	445	968
315	446	966
316	447	965
317	449	962
318	450	960
319	451	958
320	452	957
321	453	955
322	454	953
323	456	951
324	457	951
325	459	949
326	460	947
327	461	945
328	462	943
329	463	941
330	464	939
331	465	936
332	466	934
333	467	932
334	468	930
335	469	928
336	471	927
337	472	925
338	473	923
339	475	922
340	476	920
341	477	918
342	478	916
343	479	914
344	480	912
345	481	910
346	482	908
347	484	906
348	485	904
349	486	903
350	488	902
351	489	900
352	490	898
353	491	897
354	492	895
355	493	893
356	494	891
357	496	889
358	497	887
359	498	885
360	499	883
361	500	881
362	501	880
363	503	879
364	504	877
365	505	875
366	506	873
367	507	871
368	508	869
369	509	867
370	510	865
371	511	864
372	513	862
373	514	860
374	515	859
375	516	857
376	518	856
377	519	855
378	520	853
379	522	851
380	523	849
381	524	847
382	525	845
383	526	844
384	527	842
385	528	841
386	529	839
387	530	837
388	531	835
389	533	833
390	534	832
391	535	830
392	537	830
393	539	829
394	540	828
395	541	826
396	543	824
397	544	822
398	545	821
399	546	819
400	547	817
401	549	816
402	550	815
403	551	814
404	552	812
405	554	810
406	555	809
407	556	807
408	557	805
409	558	803
410	559	801
411	560	800
412	561	798
413	562	796
414	564	795
415	565	794
416	567	793
417	568	791
418	569	790
419	571	788
420	572	786
421	573	785
422	574	783
423	575	781
424	576	780
425	577	778
426	579	777
427	580	775
428	581	774
429	583	773
430	584	771
431	585	769
432	586	768
433	587	766
434	588	764
435	590	763
436	591	761
437	592	760
438	593	758
439	594	756
440	596	755
441	597	754
442	598	753
443	600	751
444	601	749
445	602	748
446	603	746
447	604	744
448	605	743
449	606	741
450	607	740
451	609	738
452	610	737
453	612	736
454	613	734
455	614	733
456	615	731
457	616	729
458	617	728
459	618	726
460	620	725
461	621	723
462	622	721
463	623	720
464	624	718
465	625	716
466	626	715
467	627	713
468	629	712
469	630	710
470	631	708
471	632	707
472	633	705
473	634	703
474	635	702
475	636	701
476	637	699
477	639	698
478	640	696
479	641	694
480	642	693
481	644	692
482	645	690
483	646	689
484	647	687
485	649	686
486	650	685
487	651	683
488	652	682
489	653	680
490	654	678
491	655	677
492	657	675
493	658	674
494	659	672
495	660	671
496	662	670
497	663	669
498	664	667
499	665	665
500	666	663
501	667	662
502	668	660
503	669	659
504	670	657
505	671	656
506	673	654
507	674	653
508	675	651
509	676	650
510	677	648
511	678	646
512	679	645
513	680	643
514	681	642
515	682	640
516	684	639
517	685	637
518	686	636
519	687	634
520	688	633
521	690	632
522	691	630
523	692	629
524	693	627
525	694	626
526	695	624
527	697	623
528	698	621
529	699	620
530	700	618
531	701	616
532	702	615
533	703	613
534	704	612
535	705	611
536	707	609
537	708	608
538	709	606
539	710	605
540	711	603
541	712	602
542	713	600
543	714	599
544	716	597
545	717	596
546	718	594
547	719	593
548	720	592
549	721	590
550	722	589
551	724	587
552	725	586
553	726	584
554	727	583
555	728	581
556	729	580
557	730	578
558	731	577
559	732	575
560	733	574
561	734	572
562	735	571
563	737	569
564	738	568
565	739	567
566	740	565
567	741	564
568	743	562
569	744	561
570	745	559
571	746	558
572	747	557
573	748	555
574	750	554
575	751	552
576	752	551
577	753	550
578	755	549
579	756	548
580	758	546
581	759	545
582	760	543
583	761	542
584	762	541
585	764	539
586	764	538
587	766	536
588	767	535
589	768	534
590	769	532
591	771	531
592	772	530
593	773	528
594	775	527
595	776	526
596	777	524
597	778	523
598	779	521
599	780	520
600	781	518
601	782	517
602	784	516
603	785	515
604	786	513
605	788	512
606	789	510
607	790	509
608	791	508
609	792	506
610	793	505
611	794	503
612	795	502
613	797	501
614	798	499
615	799	498
616	800	497
617	802	495
618	803	494
619	804	493
620	805	491
621	806	490
622	808	488
623	809	487
624	810	486
625	811	484
626	812	483
627	814	482
628	815	480
629	816	479
630	817	478
631	818	476
632	820	475
633	821	474
634	822	472
635	823	471
636	824	470
637	825	468
638	826	467
639	827	465
640	829	464
641	830	463
642	832	462
643	833	460
644	834	459
645	835	458
646	836	456
647	838	455
648	838	453
649	839	452
650	840	450
651	841	449
652	843	447
653	844	446
654	845	445
655	846	443
656	848	442
657	849	441
658	851	440
659	852	439
660	853	437
661	854	436
662	856	435
663	857	433
664	858	432
665	859	431
666	860	429
667	864	429
668	866	428
669	868	427
670	869	426
671	870	424
672	871	423
673	872	422
674	873	420
675	875	419
676	876	418
677	877	416
678	879	415
679	880	414
680	881	412
681	882	411
682	883	410
683	884	408
684	885	407
685	887	406
686	888	404
687	889	403
688	890	401
689	891	400
690	892	399
691	893	397
692	895	396
693	896	395
694	897	393
695	898	392
696	899	391
697	900	389
698	901	388
699	902	386
700	903	385
701	904	384
702	905	382
703	907	381
704	908	379
705	909	378
706	910	377
707	911	375
708	912	374
709	913	373
710	914	371
711	916	370
712	917	369
713	918	367
714	919	366
715	920	365
716	921	363
